player_name_raw,season,league,team,age,games,games_started,minutes,field_goals,field_goal_attempts,fg_pct,three_pointers,three_point_attempts,three_pct,two_pointers,two_point_attempts,two_pct,efg_pct,free_throws,free_throw_attempts,ft_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,points,source,official_stats_url,accessed_date
Dominick Barlow,2023-2024,NBA G League,AUS,,7,7,228,57,101,.564,4,14,.286,53,87,.609,.584,19,22,.864,15,39,54,8,10,11,16,14,149,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Emoni Bates,2023-2024,NBA G League,CLC,20,17,17,591,113,292,.387,63,182,.346,50,110,.455,.495,28,31,.903,6,94,100,34,10,6,33,34,336,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Damion Baugh,2023-2024,NBA G League,SBL,23,24,10,718,118,266,.444,24,85,.282,94,181,.519,.489,47,56,.839,26,95,121,65,47,10,52,41,331,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Troy Baxter Jr.,2023-2024,NBA G League,TOT,27,4,0,13,6,9,.667,3,6,.500,3,3,1.000,.833,1,1,1.000,0,1,1,0,0,0,0,3,16,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Kent Bazemore,2023-2024,NBA G League,GBO,34,22,5,529,83,208,.399,37,109,.339,46,99,.465,.488,19,26,.731,17,89,106,51,35,18,45,62,234,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Darius Bazley,2023-2024,NBA G League,TOT,,29,28,989,205,427,.480,36,121,.298,169,306,.552,.522,66,108,.611,56,204,260,103,35,58,73,49,551,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
MarJon Beauchamp,2023-2024,NBA G League,WIS,23,3,3,109,24,53,.453,7,24,.292,17,29,.586,.519,11,13,.846,7,12,19,16,4,0,10,9,74,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Charles Bediako,2023-2024,NBA G League,AUS,21,6,0,25,4,6,.667,0,0,,4,6,.667,.667,0,3,.000,6,4,10,1,0,1,4,4,8,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Dave Bell,2023-2024,NBA G League,MXC,28,2,0,16,0,2,.000,0,0,,0,2,.000,.000,0,1,.000,2,1,3,1,0,1,1,6,0,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jordan Bell,2023-2024,NBA G League,IND,29,22,12,567,117,181,.646,5,22,.227,112,159,.704,.660,19,28,.679,39,121,160,101,29,60,53,55,269,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Diego Bernard,2023-2024,NBA G League,MXC,24,27,7,497,48,105,.457,14,50,.280,34,55,.618,.524,9,14,.643,16,27,43,44,31,4,47,63,122,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jules Bernard,2023-2024,NBA G League,CCG,,23,23,749,144,319,.451,43,125,.344,101,194,.521,.519,79,87,.908,24,114,138,83,24,7,64,44,453,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jamal Bey,2023-2024,NBA G League,WES,24,28,13,638,58,151,.384,24,79,.304,34,72,.472,.464,14,18,.778,33,82,115,28,30,9,20,40,164,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Giorgi Bezhanishvili,2023-2024,NBA G League,IWA,25,27,14,641,106,190,.558,15,48,.313,91,142,.641,.597,13,24,.542,55,87,142,59,10,3,45,63,252,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Onuralp Bitim,2023-2024,NBA G League,WCB,24,12,12,386,72,158,.456,39,90,.433,33,68,.485,.579,10,12,.833,6,41,47,47,9,4,20,32,200,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Leaky Black,2023-2024,NBA G League,GBO,24,18,13,437,39,91,.429,17,47,.362,22,44,.500,.522,4,11,.364,18,74,92,36,16,8,12,24,102,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Buddy Boeheim,2023-2024,NBA G League,MCC,,31,21,925,184,402,.458,115,267,.431,69,135,.511,.601,30,33,.909,32,95,127,61,29,10,26,41,533,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Marques Bolden,2023-2024,NBA G League,TOT,25,26,21,640,137,248,.552,16,42,.381,121,206,.587,.585,21,26,.808,60,168,228,34,8,44,48,47,325,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Alexey Borges,2023-2024,NBA G League,MXC,28,19,13,510,63,142,.444,27,80,.338,36,62,.581,.539,7,12,.583,15,36,51,109,30,2,38,39,166,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Brandon Boston Jr.,2023-2024,NBA G League,ONT,22,1,1,38,13,29,.448,1,9,.111,12,20,.600,.466,5,8,.625,0,6,6,7,3,0,2,3,34,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Souley Boum,2023-2024,NBA G League,GRG,25,21,3,409,69,165,.418,30,83,.361,39,82,.476,.509,36,44,.818,5,46,51,70,17,2,45,32,220,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jamaree Bouyea,2023-2024,NBA G League,TOT,,35,34,1303,226,478,.473,67,182,.368,159,296,.537,.543,39,56,.696,39,160,199,237,76,43,75,57,578,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jordan Bowden,2023-2024,NBA G League,TOT,27,25,13,693,112,244,.459,70,157,.446,42,87,.483,.602,25,35,.714,12,64,76,45,25,4,17,68,339,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Brian Bowen II,2023-2024,NBA G League,TOT,25,18,0,193,23,52,.442,9,26,.346,14,26,.538,.529,3,4,.750,13,33,46,9,2,1,4,9,60,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Nate Bradley,2023-2024,NBA G League,BIR,,2,0,16,2,2,1.000,2,2,1.000,0,0,,1.500,2,2,1.000,0,0,0,1,1,0,2,0,8,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Tony Bradley,2023-2024,NBA G League,TEX,26,13,6,291,79,121,.653,0,1,.000,79,120,.658,.653,22,31,.710,46,87,133,25,1,25,21,26,196,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Pedro Bradshaw,2023-2024,NBA G League,IND,,30,14,710,87,200,.435,29,71,.408,58,129,.450,.508,27,36,.750,40,127,167,46,19,10,27,42,244,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Amida Brimah,2023-2024,NBA G League,TOT,29,23,11,512,67,89,.753,0,0,,67,89,.753,.753,22,29,.759,52,101,153,12,5,59,31,56,171,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Izaiah Brockington,2023-2024,NBA G League,BIR,24,33,26,943,151,314,.481,57,136,.419,94,178,.528,.572,28,37,.757,49,129,178,68,34,8,45,62,408,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Armoni Brooks,2023-2024,NBA G League,TOT,25,30,11,838,166,366,.454,92,244,.377,74,122,.607,.579,27,31,.871,18,93,111,55,31,10,33,50,466,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Charlie Brown Jr.,2023-2024,NBA G League,WES,26,17,16,567,105,248,.423,42,129,.326,63,119,.529,.508,28,38,.737,29,81,110,57,35,14,46,36,301,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Greg Brown III,2023-2024,NBA G League,TEX,22,26,25,682,181,308,.588,13,47,.277,168,261,.644,.609,56,85,.659,60,156,216,26,20,70,58,84,466,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jared Brownridge,2023-2024,NBA G League,DEL,29,34,27,843,110,276,.399,94,231,.407,16,45,.356,.569,7,10,.700,8,51,59,56,14,2,15,33,323,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Kendall Brown,2023-2024,NBA G League,IND,,21,21,721,150,298,.503,19,76,.250,131,222,.590,.535,38,52,.731,28,69,97,59,18,10,52,52,376,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Kobe Brown,2023-2024,NBA G League,ONT,,18,18,578,141,281,.502,33,99,.333,108,182,.593,.560,19,22,.864,37,87,124,99,21,10,45,43,345,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Moses Brown,2023-2024,NBA G League,RIP,24,2,2,40,8,19,.421,0,0,,8,19,.421,.421,1,6,.167,7,5,12,1,0,0,3,2,18,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Terrell Brown Jr.,2023-2024,NBA G League,GBO,,31,2,837,134,324,.414,13,52,.250,121,272,.445,.434,70,85,.824,20,100,120,100,26,3,42,61,391,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Keyshawn Bryant,2023-2024,NBA G League,ONT,,6,0,60,7,23,.304,1,8,.125,6,15,.400,.326,0,0,,3,11,14,2,2,3,0,2,15,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Kobe Bufkin,2023-2024,NBA G League,CPS,20,14,14,447,120,269,.446,37,104,.356,83,165,.503,.515,34,41,.829,6,69,75,83,18,7,50,34,331,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Marcus Burk,2023-2024,NBA G League,SCW,,29,0,478,51,137,.372,30,97,.309,21,40,.525,.482,10,12,.833,19,34,53,25,16,6,21,45,150,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Myles Burns,2023-2024,NBA G League,RAP,23,25,0,345,46,115,.400,5,18,.278,41,97,.423,.422,17,31,.548,44,42,86,24,33,5,14,18,125,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Deonte Burton,2023-2024,NBA G League,STO,30,29,13,862,134,295,.454,52,138,.377,82,157,.522,.542,28,38,.737,31,70,101,64,37,17,32,64,371,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jared Butler,2023-2024,NBA G League,CCG,23,14,14,458,101,213,.474,24,68,.353,77,145,.531,.531,21,23,.913,9,35,44,98,22,5,36,45,261,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
JC Butler,2023-2024,NBA G League,SXF,23,5,0,49,3,8,.375,1,6,.167,2,2,1.000,.438,0,0,,1,3,4,1,0,1,3,4,7,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
John Butler,2023-2024,NBA G League,CCG,21,33,5,643,77,161,.478,44,103,.427,33,58,.569,.615,13,16,.813,25,81,106,16,16,46,12,43,221,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Matas Buzelis,2023-2024,NBA G League,GLI,19,26,26,831,141,315,.448,24,88,.273,117,227,.515,.486,38,56,.679,49,131,180,51,21,54,58,68,373,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Eli Cain,2023-2024,NBA G League,SLC,,11,4,171,18,51,.353,10,25,.400,8,26,.308,.451,5,7,.714,1,13,14,8,7,3,10,26,56,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jamal Cain,2023-2024,NBA G League,SXF,,9,9,362,75,149,.503,14,38,.368,61,111,.550,.550,28,32,.875,28,76,104,37,20,12,32,31,213,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Joey Calcaterra,2023-2024,NBA G League,SBL,25,13,0,182,19,59,.322,12,38,.316,7,21,.333,.424,0,1,.000,3,18,21,8,13,0,6,15,50,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Manny Camper,2023-2024,NBA G League,SXF,,28,3,535,43,100,.430,11,27,.407,32,73,.438,.485,18,27,.667,25,85,110,46,16,8,23,53,127,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Devin Cannady,2023-2024,NBA G League,BIR,27,28,7,720,85,200,.425,55,149,.369,30,51,.588,.563,13,16,.813,17,66,83,56,28,7,27,60,251,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Donald Carey,2023-2024,NBA G League,MNE,24,16,2,165,16,59,.271,11,45,.244,5,14,.357,.364,2,4,.500,2,13,15,14,5,0,13,15,47,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Olin Carter III,2023-2024,NBA G League,TOT,,28,10,581,83,219,.379,48,148,.324,35,71,.493,.489,18,25,.720,7,49,56,35,8,10,18,43,248,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
DJ Carton,2023-2024,NBA G League,IWA,23,15,15,580,108,189,.571,33,76,.434,75,113,.664,.659,42,54,.778,7,40,47,108,24,8,35,38,312,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Colin Castleton,2023-2024,NBA G League,SBL,23,12,12,344,63,117,.538,1,1,1.000,62,116,.534,.543,26,35,.743,35,81,116,32,12,19,24,37,169,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Nathan Cayo,2023-2024,NBA G League,TOT,26,6,0,39,2,6,.333,0,1,.000,2,5,.400,.333,1,1,1.000,4,2,6,2,2,1,2,5,6,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Malcolm Cazalon,2023-2024,NBA G League,TOT,22,16,7,415,43,125,.344,30,86,.349,13,39,.333,.464,10,13,.769,1,51,52,37,18,8,28,27,132,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Justin Champagnie,2023-2024,NBA G League,TOT,22,24,24,896,199,406,.490,54,162,.333,145,244,.594,.557,49,63,.778,58,139,197,77,49,32,68,45,531,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Kennedy Chandler,2023-2024,NBA G League,LIN,21,33,22,896,182,377,.483,24,69,.348,158,308,.513,.515,52,67,.776,31,65,96,145,53,14,62,63,476,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Josh Christopher,2023-2024,NBA G League,TOT,22,23,12,641,146,323,.452,48,130,.369,98,193,.508,.526,29,34,.853,15,88,103,76,36,10,59,46,390,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Marquese Chriss,2023-2024,NBA G League,WIS,26,9,2,147,42,93,.452,5,20,.250,37,73,.507,.478,10,13,.769,14,30,44,11,7,5,11,22,107,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Sidy Cissoko,2023-2024,NBA G League,AUS,19,23,3,682,128,286,.448,26,104,.250,102,182,.560,.493,49,77,.636,22,94,116,69,34,18,52,62,360,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Chris Clarke,2023-2024,NBA G League,DEL,28,30,7,560,53,149,.356,12,46,.261,41,103,.398,.396,14,23,.609,48,110,158,85,27,10,51,64,144,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Kihei Clark,2023-2024,NBA G League,WIS,24,15,4,306,27,65,.415,7,20,.350,20,45,.444,.469,12,17,.706,2,30,32,77,10,4,32,17,80,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
TJ Clark,2023-2024,NBA G League,TOT,20,20,1,195,26,59,.441,12,22,.545,14,37,.378,.542,3,7,.429,3,14,17,11,15,5,12,36,68,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Chris Clemons,2023-2024,NBA G League,WCB,26,13,2,380,71,175,.406,38,108,.352,33,67,.493,.514,15,19,.789,5,61,66,64,19,5,21,33,200,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Noah Clowney,2023-2024,NBA G League,LIN,19,19,19,582,107,214,.500,19,56,.339,88,158,.557,.544,61,79,.772,66,84,150,39,12,32,36,75,333,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Norris Cole,2023-2024,NBA G League,GLI,,25,6,493,51,147,.347,15,50,.300,36,97,.371,.398,8,12,.667,4,19,23,106,25,5,31,50,131,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Yuri Collins,2023-2024,NBA G League,SCW,22,34,3,841,75,170,.441,27,69,.391,48,101,.475,.521,25,36,.694,18,71,89,165,34,1,71,51,214,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
George Conditt IV,2023-2024,NBA G League,RIP,,34,29,1058,197,301,.654,4,19,.211,193,282,.684,.661,58,95,.611,112,201,313,81,23,47,57,88,490,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Javonte Cooke,2023-2024,NBA G League,IWA,,32,27,1127,196,441,.444,87,232,.375,109,209,.522,.543,39,55,.709,31,133,164,120,40,21,85,76,539,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Sharife Cooper,2023-2024,NBA G League,CLC,22,30,30,991,201,421,.477,55,148,.372,146,273,.535,.543,79,93,.849,29,103,132,229,47,7,108,72,576,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Ricky Council IV,2023-2024,NBA G League,DEL,22,11,11,352,86,182,.473,21,60,.350,65,122,.533,.530,40,50,.800,21,36,57,24,7,7,22,25,254,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Ben Coupet,2023-2024,NBA G League,WCB,,29,11,586,79,173,.457,35,88,.398,44,85,.518,.558,19,23,.826,22,67,89,19,12,3,12,33,227,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jalen Crutcher,2023-2024,NBA G League,BIR,24,33,33,1140,178,402,.443,92,231,.398,86,171,.503,.557,44,49,.898,16,89,105,184,32,9,81,42,520,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jarrett Culver,2023-2024,NBA G League,RGV,24,29,22,939,222,486,.457,65,171,.380,157,315,.498,.524,66,89,.742,59,140,199,103,56,18,79,62,607,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Jarron Cumberland,2023-2024,NBA G League,DEL,26,25,23,659,78,200,.390,17,70,.243,61,130,.469,.433,64,85,.753,35,77,112,92,46,9,32,62,277,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Caleb Daniels,2023-2024,NBA G League,SXF,24,31,22,978,148,342,.433,51,148,.345,97,194,.500,.507,34,40,.850,46,121,167,69,23,20,53,77,400,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Dyson Daniels,2023-2024,NBA G League,BIR,20,1,0,24,7,12,.583,3,6,.500,4,6,.667,.708,3,3,1.000,0,1,1,6,7,0,4,1,22,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Sam Daniel,2023-2024,NBA G League,TOT,28,4,0,28,4,9,.444,3,7,.429,1,2,.500,.611,1,1,1.000,0,3,3,2,1,0,1,5,13,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Thierry Darlan,2023-2024,NBA G League,GLI,19,29,10,526,44,109,.404,15,44,.341,29,65,.446,.472,20,27,.741,24,99,123,24,14,9,36,49,136,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Nate Darling,2023-2024,NBA G League,ONT,25,3,0,48,5,22,.227,1,11,.091,4,11,.364,.250,1,2,.500,1,3,4,6,1,1,3,1,13,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Antoine Davis,2023-2024,NBA G League,RIP,,29,23,833,179,419,.427,117,306,.382,62,113,.549,.567,33,38,.868,15,80,95,55,23,4,45,56,517,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
JD Davison,2023-2024,NBA G League,MNE,,28,28,962,224,494,.453,38,143,.266,186,351,.530,.492,58,85,.682,31,114,145,241,45,17,89,70,583,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
Johnny Davis,2023-2024,NBA G League,CCG,,6,5,167,22,61,.361,4,19,.211,18,42,.429,.393,2,3,.667,4,19,23,13,12,3,8,8,51,Basketball-Reference G League player totals,https://www.basketball-reference.com/gleague/years/gleague_2024_totals.html,2026-08-16
