new_rank,player_name_raw,player_name_key,season,league,team,source,recommendation_score,score_component_pathway,score_component_performance,score_component_context,score_component_completeness,reason_summary,games,minutes_per_game,points_per_36,usage_proxy,ts_pct,fg_pct,three_pct,ft_pct,height,weight,age,official_player_url,official_stats_url,youtube_search_url,google_video_search_url,video_search_query,data_quality_warning,basketball_reference_search_url,league_official_search_url,rank,score,recommendation_season
11,Drew Timme,drewtimme,2025-2026,G League,SBL,pasted_stats_table,2.0357853898847242,1.0,0.8409193373166757,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,13,28.692307692307693,29.7,0.7262222222222223,0.6646079484425349,0.563,0.172,0.792,,,25.0,,,https://www.youtube.com/results?search_query=Drew+Timme+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Drew+Timme+G+League+basketball+highlights,Drew Timme G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Drew+Timme%22+basketball,https://www.google.com/search?q=%22Drew+Timme%22+%22G+League%22+official+basketball+stats,11,2.0357853898847242,2025-2026
12,Trayce Jackson-Davis,traycejacksondavis,2025-2026,G League,RAP,pasted_stats_table,2.0329303126320237,1.0,0.9130101394169836,0.0,0.444,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile; data warning: low_performance_stat_coverage,2,32.0,30.4,0.6091111111111112,0.7744039127776645,0.633,,0.818,,,25.0,,,https://www.youtube.com/results?search_query=Trayce+Jackson-Davis+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Trayce+Jackson-Davis+G+League+basketball+highlights,Trayce Jackson-Davis G League basketball highlights,low_performance_stat_coverage,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Trayce+Jackson-Davis%22+basketball,https://www.google.com/search?q=%22Trayce+Jackson-Davis%22+%22G+League%22+official+basketball+stats,12,2.0329303126320237,2025-2026
13,Tyrese Martin,tyresemartin,2025-2026,G League,DEL,pasted_stats_table,2.0193818350534127,1.0,0.9488606735469854,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,3,39.0,28.6,0.6406666666666667,0.7056849585471773,0.538,0.568,1.0,,,,,,https://www.youtube.com/results?search_query=Tyrese+Martin+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Tyrese+Martin+G+League+basketball+highlights,Tyrese Martin G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Tyrese+Martin%22+basketball,https://www.google.com/search?q=%22Tyrese+Martin%22+%22G+League%22+official+basketball+stats,13,2.0193818350534127,2025-2026
14,Kobe Bufkin,kobebufkin,2025-2026,G League,SBL,pasted_stats_table,2.0119086396282215,1.0,0.8835234474017745,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,17,30.647058823529413,29.1,0.6361111111111111,0.7311557788944725,0.512,0.419,0.875,,,22.0,,,https://www.youtube.com/results?search_query=Kobe+Bufkin+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Kobe+Bufkin+G+League+basketball+highlights,Kobe Bufkin G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Kobe+Bufkin%22+basketball,https://www.google.com/search?q=%22Kobe+Bufkin%22+%22G+League%22+official+basketball+stats,14,2.0119086396282215,2025-2026
15,Ethan Thompson,ethanthompson,2025-2026,G League,NOB,pasted_stats_table,2.008991558030056,1.0,0.9179662321202245,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,8,33.875,28.6,0.63,0.7051282051282052,0.478,0.528,0.912,,,26.0,,,https://www.youtube.com/results?search_query=Ethan+Thompson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Ethan+Thompson+G+League+basketball+highlights,Ethan Thompson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Ethan+Thompson%22+basketball,https://www.google.com/search?q=%22Ethan+Thompson%22+%22G+League%22+official+basketball+stats,15,2.008991558030056,2025-2026
16,David Jones,davidjones,2025-2026,G League,AUS,pasted_stats_table,2.001422739754964,1.0,0.7755798479087452,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,11,32.72727272727273,28.0,0.7901111111111112,0.5635163419739172,0.416,0.3,0.843,,,,,,https://www.youtube.com/results?search_query=David+Jones+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=David+Jones+G+League+basketball+highlights,David Jones G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22David+Jones%22+basketball,https://www.google.com/search?q=%22David+Jones%22+%22G+League%22+official+basketball+stats,16,2.001422739754964,2025-2026
17,Ron Harper Jr.,ronharper,2025-2026,G League,MNE,pasted_stats_table,1.9982178465809641,1.0,0.8510936085460801,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,10,31.4,27.9,0.7097777777777776,0.6383855024711698,0.455,0.377,0.828,,,,,,https://www.youtube.com/results?search_query=Ron+Harper+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Ron+Harper+Jr.+G+League+basketball+highlights,Ron Harper Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Ron+Harper+Jr.%22+basketball,https://www.google.com/search?q=%22Ron+Harper+Jr.%22+%22G+League%22+official+basketball+stats,17,1.9982178465809641,2025-2026
18,Zyon Pullin,zyonpullin,2025-2026,G League,IWA,pasted_stats_table,1.9978818048765767,1.0,0.9313049972840848,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,11,35.09090909090909,28.4,0.5882222222222223,0.7603341186549581,0.583,0.564,0.793,,,,,,https://www.youtube.com/results?search_query=Zyon+Pullin+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Zyon+Pullin+G+League+basketball+highlights,Zyon Pullin G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Zyon+Pullin%22+basketball,https://www.google.com/search?q=%22Zyon+Pullin%22+%22G+League%22+official+basketball+stats,18,1.9978818048765767,2025-2026
19,Moses Brown,mosesbrown,2025-2026,G League,GRG,pasted_stats_table,1.9854275439072966,1.0,0.7847768422958536,0.0,0.444,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile; data warning: low_performance_stat_coverage,25,26.96,28.4,0.7073333333333333,0.6321225071225072,0.599,,0.5,,,26.0,,,https://www.youtube.com/results?search_query=Moses+Brown+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Moses+Brown+G+League+basketball+highlights,Moses Brown G League basketball highlights,low_performance_stat_coverage,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Moses+Brown%22+basketball,https://www.google.com/search?q=%22Moses+Brown%22+%22G+League%22+official+basketball+stats,19,1.9854275439072966,2025-2026
20,Quenton Jackson,quentonjackson,2025-2026,G League,NOB,pasted_stats_table,1.9821336909288432,1.0,0.8618680970487055,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,1,30.0,27.6,0.6586666666666667,0.6861575178997613,0.467,0.6,1.0,,,,,,https://www.youtube.com/results?search_query=Quenton+Jackson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Quenton+Jackson+G+League+basketball+highlights,Quenton Jackson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Quenton+Jackson%22+basketball,https://www.google.com/search?q=%22Quenton+Jackson%22+%22G+League%22+official+basketball+stats,20,1.9821336909288432,2025-2026
