new_rank,player_name_raw,player_name_key,season,league,team,source,recommendation_score,score_component_pathway,score_component_performance,score_component_context,score_component_completeness,reason_summary,games,minutes_per_game,points_per_36,usage_proxy,ts_pct,fg_pct,three_pct,ft_pct,height,weight,age,official_player_url,official_stats_url,youtube_search_url,google_video_search_url,video_search_query,data_quality_warning,basketball_reference_search_url,league_official_search_url,rank,score,recommendation_season
138,Marques Bolden,marquesbolden,2025-2026,G League,SCW,pasted_stats_table,1.762009852737039,1.0,0.6819282998370451,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,29,27.0,21.0,0.4861111111111111,0.660377358490566,0.519,0.369,0.778,,,27.0,,,https://www.youtube.com/results?search_query=Marques+Bolden+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Marques+Bolden+G+League+basketball+highlights,Marques Bolden G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Marques+Bolden%22+basketball,https://www.google.com/search?q=%22Marques+Bolden%22+%22G+League%22+official+basketball+stats,138,1.762009852737039,2025-2026
139,Jalen Slawson,jalenslawson,2025-2026,G League,NOB,pasted_stats_table,1.761306076105981,1.0,0.782002082201702,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,25,34.64,19.5,0.5032222222222222,0.6716726370901075,0.477,0.348,0.785,,,26.0,,,https://www.youtube.com/results?search_query=Jalen+Slawson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jalen+Slawson+G+League+basketball+highlights,Jalen Slawson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jalen+Slawson%22+basketball,https://www.google.com/search?q=%22Jalen+Slawson%22+%22G+League%22+official+basketball+stats,139,1.761306076105981,2025-2026
140,Ben Saraf,bensaraf,2025-2026,G League,LIN,pasted_stats_table,1.758523288973384,1.0,0.6177598225602028,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,15,27.53333333333333,20.1,0.6083333333333334,0.5521978021978021,0.423,0.373,0.759,,,19.0,,,https://www.youtube.com/results?search_query=Ben+Saraf+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Ben+Saraf+G+League+basketball+highlights,Ben Saraf G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Ben+Saraf%22+basketball,https://www.google.com/search?q=%22Ben+Saraf%22+%22G+League%22+official+basketball+stats,140,1.758523288973384,2025-2026
141,DaRon Holmes,daronholmes,2025-2026,G League,GRG,pasted_stats_table,1.7579446632265074,1.0,0.716445319572696,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,9,37.55555555555556,19.8,0.5313333333333333,0.5813953488372093,0.414,0.31,0.8,,,23.0,,,https://www.youtube.com/results?search_query=DaRon+Holmes+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=DaRon+Holmes+G+League+basketball+highlights,DaRon Holmes G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22DaRon+Holmes%22+basketball,https://www.google.com/search?q=%22DaRon+Holmes%22+%22G+League%22+official+basketball+stats,141,1.7579446632265074,2025-2026
142,Alize Johnson,alizejohnson,2025-2026,G League,IWA,pasted_stats_table,1.7571499562435877,1.0,0.7643776027521275,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,19,37.36842105263158,19.8,0.4802222222222222,0.6518303924150646,0.543,0.413,0.717,,,29.0,,,https://www.youtube.com/results?search_query=Alize+Johnson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Alize+Johnson+G+League+basketball+highlights,Alize Johnson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Alize+Johnson%22+basketball,https://www.google.com/search?q=%22Alize+Johnson%22+%22G+League%22+official+basketball+stats,142,1.7571499562435877,2025-2026
143,CJ Huntley,cjhuntley,2025-2026,G League,VAL,pasted_stats_table,1.75330132325427,1.0,0.6903164041281912,0.0,0.5,common CBA source league/pathway; strong scoring per 36; efficient scoring profile,29,27.448275862068964,21.0,0.4428888888888889,0.7219471947194719,0.623,0.338,0.69,,,24.0,,,https://www.youtube.com/results?search_query=CJ+Huntley+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=CJ+Huntley+G+League+basketball+highlights,CJ Huntley G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22CJ+Huntley%22+basketball,https://www.google.com/search?q=%22CJ+Huntley%22+%22G+League%22+official+basketball+stats,143,1.75330132325427,2025-2026
144,Chance McMillian,chancemcmillian,2025-2026,G League,SCW,pasted_stats_table,1.7524829274548857,1.0,0.6620428209306536,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,30,30.33333333333333,20.1,0.5398888888888888,0.589927212960789,0.447,0.357,0.915,,,24.0,,,https://www.youtube.com/results?search_query=Chance+McMillian+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Chance+McMillian+G+League+basketball+highlights,Chance McMillian G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Chance+McMillian%22+basketball,https://www.google.com/search?q=%22Chance+McMillian%22+%22G+League%22+official+basketball+stats,144,1.7524829274548857,2025-2026
145,Nate Hinton,natehinton,2025-2026,G League,MHU,pasted_stats_table,1.7482530101394171,1.0,0.672012040557668,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,21,32.333333333333336,20.0,0.5210000000000001,0.5828864537188155,0.462,0.345,0.733,,,26.0,,,https://www.youtube.com/results?search_query=Nate+Hinton+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Nate+Hinton+G+League+basketball+highlights,Nate Hinton G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Nate+Hinton%22+basketball,https://www.google.com/search?q=%22Nate+Hinton%22+%22G+League%22+official+basketball+stats,145,1.7482530101394171,2025-2026
146,Johnny Davis,johnnydavis,2025-2026,G League,WIS,pasted_stats_table,1.7472579666847727,1.0,0.6146985334057578,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,17,27.823529411764707,20.2,0.5583333333333333,0.5642458100558658,0.443,0.348,0.727,,,,,,https://www.youtube.com/results?search_query=Johnny+Davis+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Johnny+Davis+G+League+basketball+highlights,Johnny Davis G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Johnny+Davis%22+basketball,https://www.google.com/search?q=%22Johnny+Davis%22+%22G+League%22+official+basketball+stats,146,1.7472579666847727,2025-2026
147,Dereon Seabron,dereonseabron,2025-2026,G League,SLC,pasted_stats_table,1.7463351816645545,1.0,0.6977851711026616,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,24,30.875,19.5,0.5275555555555554,0.6253206772703951,0.504,0.347,0.636,,,,,,https://www.youtube.com/results?search_query=Dereon+Seabron+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Dereon+Seabron+G+League+basketball+highlights,Dereon Seabron G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Dereon+Seabron%22+basketball,https://www.google.com/search?q=%22Dereon+Seabron%22+%22G+League%22+official+basketball+stats,147,1.7463351816645545,2025-2026
148,RJ Nembhard Jr.,rjnembhard,2025-2026,G League,TOT,pasted_stats_table,1.7432510712776874,1.0,0.6332265073329711,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,25,30.0,19.5,0.5797777777777777,0.5612479852636426,0.454,0.241,0.696,,,26.0,,,https://www.youtube.com/results?search_query=RJ+Nembhard+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=RJ+Nembhard+Jr.+G+League+basketball+highlights,RJ Nembhard Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22RJ+Nembhard+Jr.%22+basketball,https://www.google.com/search?q=%22RJ+Nembhard+Jr.%22+%22G+League%22+official+basketball+stats,148,1.7432510712776874,2025-2026
149,AJ Johnson,ajjohnson,2025-2026,G League,TOT,pasted_stats_table,1.742993723218058,1.0,0.6117526706500089,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,7,31.0,19.2,0.6242222222222221,0.4930156121610518,0.404,0.283,0.75,,,,,,https://www.youtube.com/results?search_query=AJ+Johnson+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=AJ+Johnson+G+League+basketball+highlights,AJ Johnson G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22AJ+Johnson%22+basketball,https://www.google.com/search?q=%22AJ+Johnson%22+%22G+League%22+official+basketball+stats,149,1.742993723218058,2025-2026
150,Josh Oduro,joshoduro,2025-2026,G League,BIR,pasted_stats_table,1.7370772074355727,1.0,0.6928643852978453,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,32,29.96875,19.7,0.4794444444444444,0.6628532974427994,0.569,0.229,0.67,,,,,,https://www.youtube.com/results?search_query=Josh+Oduro+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Josh+Oduro+G+League+basketball+highlights,Josh Oduro G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Josh+Oduro%22+basketball,https://www.google.com/search?q=%22Josh+Oduro%22+%22G+League%22+official+basketball+stats,150,1.7370772074355727,2025-2026
151,Jeenathan Williams,jeenathanwilliams,2025-2026,G League,TOT,pasted_stats_table,1.7368111684471,1.0,0.6970224515661778,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,25,34.12,19.4,0.4982222222222221,0.6048889997505613,0.497,0.349,0.822,,,,,,https://www.youtube.com/results?search_query=Jeenathan+Williams+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jeenathan+Williams+G+League+basketball+highlights,Jeenathan Williams G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jeenathan+Williams%22+basketball,https://www.google.com/search?q=%22Jeenathan+Williams%22+%22G+League%22+official+basketball+stats,151,1.7368111684471,2025-2026
152,Deivon Smith,deivonsmith,2025-2026,G League,TOT,pasted_stats_table,1.7327547528517113,1.0,0.5866856780735108,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,18,23.166666666666668,19.7,0.5683333333333334,0.5773739742086752,0.441,0.302,0.717,,,23.0,,,https://www.youtube.com/results?search_query=Deivon+Smith+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Deivon+Smith+G+League+basketball+highlights,Deivon Smith G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Deivon+Smith%22+basketball,https://www.google.com/search?q=%22Deivon+Smith%22+%22G+League%22+official+basketball+stats,152,1.7327547528517113,2025-2026
153,Kevin McCullar Jr.,kevinmccullar,2025-2026,G League,WES,pasted_stats_table,1.729487348361398,1.0,0.6672827267789245,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,10,31.8,19.0,0.5306666666666667,0.5936015996001,0.467,0.342,0.643,,,,,,https://www.youtube.com/results?search_query=Kevin+McCullar+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Kevin+McCullar+Jr.+G+League+basketball+highlights,Kevin McCullar Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Kevin+McCullar+Jr.%22+basketball,https://www.google.com/search?q=%22Kevin+McCullar+Jr.%22+%22G+League%22+official+basketball+stats,153,1.729487348361398,2025-2026
154,Isaih Moore,isaihmoore,2025-2026,G League,TOT,pasted_stats_table,1.7288914991852253,1.0,0.6202326634075683,0.0,0.5,common CBA source league/pathway; strong scoring per 36; efficient scoring profile,27,20.77777777777778,21.0,0.4153333333333333,0.7635253054101221,0.682,0.278,0.654,,,,,,https://www.youtube.com/results?search_query=Isaih+Moore+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Isaih+Moore+G+League+basketball+highlights,Isaih Moore G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Isaih+Moore%22+basketball,https://www.google.com/search?q=%22Isaih+Moore%22+%22G+League%22+official+basketball+stats,154,1.7288914991852253,2025-2026
155,Arthur Kaluma,arthurkaluma,2025-2026,G League,SBL,pasted_stats_table,1.7287229615547106,1.0,0.6667807351077314,0.0,0.5,common CBA source league/pathway; strong scoring per 36; efficient scoring profile,35,26.37142857142857,20.0,0.448111111111111,0.7076139258420606,0.545,0.364,0.845,,,,,,https://www.youtube.com/results?search_query=Arthur+Kaluma+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Arthur+Kaluma+G+League+basketball+highlights,Arthur Kaluma G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Arthur+Kaluma%22+basketball,https://www.google.com/search?q=%22Arthur+Kaluma%22+%22G+League%22+official+basketball+stats,155,1.7287229615547106,2025-2026
156,Gabe McGlothan,gabemcglothan,2025-2026,G League,NOB,pasted_stats_table,1.7281187911159395,1.0,0.6729196089082021,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,22,28.272727272727277,19.7,0.4635555555555556,0.670615468409586,0.538,0.421,0.702,,,,,,https://www.youtube.com/results?search_query=Gabe+McGlothan+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Gabe+McGlothan+G+League+basketball+highlights,Gabe McGlothan G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Gabe+McGlothan%22+basketball,https://www.google.com/search?q=%22Gabe+McGlothan%22+%22G+League%22+official+basketball+stats,156,1.7281187911159395,2025-2026
157,Malik Williams,malikwilliams,2025-2026,G League,TOT,pasted_stats_table,1.7280673622427425,1.0,0.5911583378598588,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,34,27.764705882352946,19.8,0.5371111111111111,0.5581867388362654,0.431,0.342,0.673,,,27.0,,,https://www.youtube.com/results?search_query=Malik+Williams+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Malik+Williams+G+League+basketball+highlights,Malik Williams G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Malik+Williams%22+basketball,https://www.google.com/search?q=%22Malik+Williams%22+%22G+League%22+official+basketball+stats,157,1.7280673622427425,2025-2026
158,Charlie Brown Jr.,charliebrown,2025-2026,G League,MHU,pasted_stats_table,1.7265285020218484,1.0,0.6346695636429478,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,31,31.06451612903226,19.1,0.5434444444444444,0.5696731090431878,0.416,0.266,0.841,,,28.0,,,https://www.youtube.com/results?search_query=Charlie+Brown+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Charlie+Brown+Jr.+G+League+basketball+highlights,Charlie Brown Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Charlie+Brown+Jr.%22+basketball,https://www.google.com/search?q=%22Charlie+Brown+Jr.%22+%22G+League%22+official+basketball+stats,158,1.7265285020218484,2025-2026
159,Jordan Bell,jordanbell,2025-2026,G League,NOB,pasted_stats_table,1.7260041794918222,1.0,0.6747944957450661,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,3,27.666666666666668,19.1,0.5012222222222222,0.6566281628162817,0.613,0.0,0.667,,,31.0,,,https://www.youtube.com/results?search_query=Jordan+Bell+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jordan+Bell+G+League+basketball+highlights,Jordan Bell G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jordan+Bell%22+basketball,https://www.google.com/search?q=%22Jordan+Bell%22+%22G+League%22+official+basketball+stats,159,1.7260041794918222,2025-2026
160,Marquis Barnett,marquisbarnett,2025-2026,G League,OKL,pasted_stats_table,1.7254495443297724,1.0,0.6102426217635343,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,5,14.6,20.2,0.4755555555555555,0.7415565345080762,0.56,0.3,0.833,,,,,,https://www.youtube.com/results?search_query=Marquis+Barnett+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Marquis+Barnett+G+League+basketball+highlights,Marquis Barnett G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Marquis+Barnett%22+basketball,https://www.google.com/search?q=%22Marquis+Barnett%22+%22G+League%22+official+basketball+stats,160,1.7254495443297724,2025-2026
161,Tosan Evbuomwan,tosanevbuomwan,2025-2026,G League,TOT,pasted_stats_table,1.7244942739453195,1.0,0.679643762447945,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,25,34.6,19.0,0.4983333333333333,0.5959849435382685,0.458,0.333,0.747,,,24.0,,,https://www.youtube.com/results?search_query=Tosan+Evbuomwan+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Tosan+Evbuomwan+G+League+basketball+highlights,Tosan Evbuomwan G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Tosan+Evbuomwan%22+basketball,https://www.google.com/search?q=%22Tosan+Evbuomwan%22+%22G+League%22+official+basketball+stats,161,1.7244942739453195,2025-2026
162,Kyle Mangas,kylemangas,2025-2026,G League,AUS,pasted_stats_table,1.7239285940611986,1.0,0.6597143762447945,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,35,31.285714285714285,19.3,0.492,0.6064605329311211,0.456,0.397,0.746,,,26.0,,,https://www.youtube.com/results?search_query=Kyle+Mangas+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Kyle+Mangas+G+League+basketball+highlights,Kyle Mangas G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Kyle+Mangas%22+basketball,https://www.google.com/search?q=%22Kyle+Mangas%22+%22G+League%22+official+basketball+stats,162,1.7239285940611986,2025-2026
163,Keion Brooks Jr.,keionbrooks,2025-2026,G League,TOT,pasted_stats_table,1.723655486148832,1.0,0.6456219445953286,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,34,31.5,19.0,0.5290000000000001,0.5777183167112624,0.458,0.318,0.718,,,,,,https://www.youtube.com/results?search_query=Keion+Brooks+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Keion+Brooks+Jr.+G+League+basketball+highlights,Keion Brooks Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Keion+Brooks+Jr.%22+basketball,https://www.google.com/search?q=%22Keion+Brooks+Jr.%22+%22G+League%22+official+basketball+stats,163,1.723655486148832,2025-2026
164,Myron Gardner,myrongardner,2025-2026,G League,SXF,pasted_stats_table,1.7227508736194097,1.0,0.6817368278109723,0.0,0.444,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile; data warning: low_performance_stat_coverage,1,22.0,18.0,0.5916666666666666,0.6870229007633588,0.625,0.5,,,,,,,https://www.youtube.com/results?search_query=Myron+Gardner+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Myron+Gardner+G+League+basketball+highlights,Myron Gardner G League basketball highlights,low_performance_stat_coverage,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Myron+Gardner%22+basketball,https://www.google.com/search?q=%22Myron+Gardner%22+%22G+League%22+official+basketball+stats,164,1.7227508736194097,2025-2026
165,Olivier Sarr,oliviersarr,2025-2026,G League,TOT,pasted_stats_table,1.721518060836502,1.0,0.6487389100126743,0.0,0.5,common CBA source league/pathway; strong scoring per 36; efficient scoring profile,32,24.21875,20.0,0.4373333333333333,0.7383343177790903,0.566,0.443,0.768,,,26.0,,,https://www.youtube.com/results?search_query=Olivier+Sarr+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Olivier+Sarr+G+League+basketball+highlights,Olivier Sarr G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Olivier+Sarr%22+basketball,https://www.google.com/search?q=%22Olivier+Sarr%22+%22G+League%22+official+basketball+stats,165,1.721518060836502,2025-2026
166,RJ Melendez,rjmelendez,2025-2026,G League,MXC,pasted_stats_table,1.7198551662743677,1.0,0.5848651095419157,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,31,21.06451612903226,19.7,0.5185555555555555,0.609228104898565,0.502,0.34,0.641,,,23.0,,,https://www.youtube.com/results?search_query=RJ+Melendez+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=RJ+Melendez+G+League+basketball+highlights,RJ Melendez G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22RJ+Melendez%22+basketball,https://www.google.com/search?q=%22RJ+Melendez%22+%22G+League%22+official+basketball+stats,166,1.7198551662743677,2025-2026
167,Wade Taylor IV,wadetaylor,2025-2026,G League,MXC,pasted_stats_table,1.7181076935844046,1.0,0.665986329893174,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,36,27.86111111111111,18.8,0.5024444444444445,0.6488128106018773,0.457,0.396,0.829,,,22.0,,,https://www.youtube.com/results?search_query=Wade+Taylor+IV+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Wade+Taylor+IV+G+League+basketball+highlights,Wade Taylor IV G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Wade+Taylor+IV%22+basketball,https://www.google.com/search?q=%22Wade+Taylor+IV%22+%22G+League%22+official+basketball+stats,167,1.7181076935844046,2025-2026
168,Basheer Jihad,basheerjihad,2025-2026,G League,CPS,pasted_stats_table,1.7173664901321744,1.0,0.6451326271953648,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,34,25.205882352941178,19.6,0.4563333333333333,0.6839754327191514,0.551,0.364,0.719,,,22.0,,,https://www.youtube.com/results?search_query=Basheer+Jihad+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Basheer+Jihad+G+League+basketball+highlights,Basheer Jihad G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Basheer+Jihad%22+basketball,https://www.google.com/search?q=%22Basheer+Jihad%22+%22G+League%22+official+basketball+stats,168,1.7173664901321744,2025-2026
169,Stephen Thompson Jr.,stephenthompson,2025-2026,G League,WIS,pasted_stats_table,1.714735401955459,1.0,0.6716082744885026,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,33,33.333333333333336,18.8,0.4833333333333333,0.6103896103896104,0.465,0.422,0.724,,,,,,https://www.youtube.com/results?search_query=Stephen+Thompson+Jr.+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Stephen+Thompson+Jr.+G+League+basketball+highlights,Stephen Thompson Jr. G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Stephen+Thompson+Jr.%22+basketball,https://www.google.com/search?q=%22Stephen+Thompson+Jr.%22+%22G+League%22+official+basketball+stats,169,1.714735401955459,2025-2026
170,Carter Bryant,carterbryant,2025-2026,G League,AUS,pasted_stats_table,1.7145652196873682,1.0,0.5897053231939164,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,1,29.0,18.6,0.5805555555555556,0.5406976744186046,0.462,0.0,1.0,,,20.0,,,https://www.youtube.com/results?search_query=Carter+Bryant+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Carter+Bryant+G+League+basketball+highlights,Carter Bryant G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Carter+Bryant%22+basketball,https://www.google.com/search?q=%22Carter+Bryant%22+%22G+League%22+official+basketball+stats,170,1.7145652196873682,2025-2026
171,Jalen Crutcher,jalencrutcher,2025-2026,G League,TOT,pasted_stats_table,1.7137923230128553,1.0,0.6951692920514213,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,36,34.80555555555556,18.6,0.472,0.6244963738920226,0.469,0.434,0.823,,,26.0,,,https://www.youtube.com/results?search_query=Jalen+Crutcher+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Jalen+Crutcher+G+League+basketball+highlights,Jalen Crutcher G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Jalen+Crutcher%22+basketball,https://www.google.com/search?q=%22Jalen+Crutcher%22+%22G+League%22+official+basketball+stats,171,1.7137923230128553,2025-2026
172,Tamar Bates,tamarbates,2025-2026,G League,GRG,pasted_stats_table,1.7134472584344256,1.0,0.677900144848814,0.0,0.5,common CBA source league/pathway; strong scoring per 36; efficient scoring profile,1,33.0,19.6,0.4078888888888888,0.6673930809043858,0.538,0.429,1.0,,,,,,https://www.youtube.com/results?search_query=Tamar+Bates+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Tamar+Bates+G+League+basketball+highlights,Tamar Bates G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Tamar+Bates%22+basketball,https://www.google.com/search?q=%22Tamar+Bates%22+%22G+League%22+official+basketball+stats,172,1.7134472584344256,2025-2026
173,Cam Reddish,camreddish,2025-2026,G League,SDC,pasted_stats_table,1.7128979721166033,1.0,0.5792585551330799,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,9,17.444444444444443,19.9,0.4803333333333334,0.6549499736703528,0.508,0.406,0.75,,,,,,https://www.youtube.com/results?search_query=Cam+Reddish+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Cam+Reddish+G+League+basketball+highlights,Cam Reddish G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Cam+Reddish%22+basketball,https://www.google.com/search?q=%22Cam+Reddish%22+%22G+League%22+official+basketball+stats,173,1.7128979721166033,2025-2026
174,Dink Pate,dinkpate,2025-2026,G League,WES,pasted_stats_table,1.7128008253364715,1.0,0.6106477457903314,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,36,30.77777777777778,18.7,0.5445555555555556,0.5597461685823755,0.418,0.369,0.694,,,19.0,,,https://www.youtube.com/results?search_query=Dink+Pate+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Dink+Pate+G+League+basketball+highlights,Dink Pate G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Dink+Pate%22+basketball,https://www.google.com/search?q=%22Dink+Pate%22+%22G+League%22+official+basketball+stats,174,1.7128008253364715,2025-2026
175,Tyler Smith,tylersmith,2025-2026,G League,TOT,pasted_stats_table,1.711775589957149,1.0,0.6172134709397066,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy; efficient scoring profile,25,26.84,19.3,0.4858888888888889,0.6189071318624936,0.498,0.375,0.697,,,21.0,,,https://www.youtube.com/results?search_query=Tyler+Smith+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Tyler+Smith+G+League+basketball+highlights,Tyler Smith G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Tyler+Smith%22+basketball,https://www.google.com/search?q=%22Tyler+Smith%22+%22G+League%22+official+basketball+stats,175,1.711775589957149,2025-2026
176,Keyshawn Bryant,keyshawnbryant,2025-2026,G League,WCB,pasted_stats_table,1.7117040406783757,1.0,0.54770505160239,0.0,0.5,common CBA source league/pathway; strong scoring per 36; high usage proxy,22,21.818181818181817,19.7,0.5231111111111111,0.5749474667289283,0.476,0.321,0.541,,,,,,https://www.youtube.com/results?search_query=Keyshawn+Bryant+G+League+basketball+highlights,https://www.google.com/search?tbm=vid&q=Keyshawn+Bryant+G+League+basketball+highlights,Keyshawn Bryant G League basketball highlights,,https://www.google.com/search?q=site%3Abasketball-reference.com+%22Keyshawn+Bryant%22+basketball,https://www.google.com/search?q=%22Keyshawn+Bryant%22+%22G+League%22+official+basketball+stats,176,1.7117040406783757,2025-2026
